id,title,release_date,type,duration,genre,group_id,stock,price
1,CAPTURE THE FLAG,2024-01-30,Mini Album,1086.0,Pop,409,200,13995421
2,VENI VIDI VICI,2023-08-21,Mini Album,1204.0,Pop,409,170,15444068
3,2,2024-01-29,Full Length Album,1255.0,Pop,2,177,2018034
4,I feel,2023-05-15,Mini Album,1025.0,Pop,2,41,13160048
5,0 or 1,2024-01-24,Single Album,359.0,Pop,107,164,6155107
6,‘OK’ Episode 2 : I’m OK,2023-05-29,EP Album,869.0,Pop,107,190,7882612
7,Sparkling Blue,2024-01-22,Mini Album,906.0,"Pop, Dance.",400,113,1591760
8,Un: SEEN,2024-01-22,Mini Album,933.0,Pop,144,146,11670257
9,Target: ME,2023-09-19,Mini Album,1140.0,Pop,144,135,373271
10,THE FUTURE IS OURS : FOUND,2024-01-22,Mini Album,1017.0,Pop,23,17,1437323
11,THE FUTURE IS OURS : LOST,2023-05-29,Mini Album,1083.0,Pop,23,33,5970645
12,Fe3O4: BREAK,2024-01-15,EP Album,1259.0,Pop,293,128,10741828
13,A Midsummer NMIXX’s Dream,2023-07-11,Single Album,725.0,Pop,293,140,5556579
14,Do Not Disturb,2024-01-10,,803.0,K-pop,12,156,11142435
15,LAST DANCE,2024-01-11,EP Album,3257.0,Pop,242,83,14957919
16,MADELEINE,2023-08-04,Single Album,567.0,,242,116,9473083
17,LIMELIGHT,2022-09-29,EP,1585.0,"Pop, Dance",242,163,8995444
18,LOVE & HAPPINESS,2023-02-17,EP Album,1891.0,Pop,242,177,5269607
19,STUNNING,2024-01-09,Mini Album,943.0,,17,34,9567289
20,UNCHARTED DRIFT,2023-06-26,Mini Album,890.0,Pop,17,63,14726999
21,8TURNRISE,2023-01-30,Mini Album,1024.0,Pop,17,121,6631338
22,Sequence,2024-01-08,Mini Album,1190.0,Pop,345,112,3857503
23,BORN TO BE,2024-01-08,Mini Album,1890.0,Pop,217,22,7859319
24,KILL MY DOUBT,2023-07-31,Mini Album,1064.0,Pop,217,75,11968462
25,CHESHIRE,2022-11-30,Mini Album,754.0,,217,184,4979730
26,Checkmate,2022-07-15,mini-album,,"Kpop,",217,27,13223909
27,CONNECT,2024-01-08,Mini Album,915.0,Pop,54,91,12758980
28,20&2,2023-12-26,Full Length Album,1842.0,Pop,397,30,15130393
29,Merry & Happy,,,,,398,188,5005150
30,READY TO BE,2023-03-10,Mini Album,1224.0,Pop,398,43,5033517
31,Celebrate,2022-07-27,,1814.0,J-Pop,398,103,4003775
32,Between 1&2,2022-08-26,mini-album,,"kpop, dance pop",398,117,1597147
33,The Story Begins,2015-10-20,,1195.0,Kpop,398,135,13506489
34,Kura Kura,2021-05-12,,859.0,K-Pop,398,168,4443216
35, THE WORLD EP.FIN : WILL,2023-12-01,Mini Album,2350.0,Pop,48,167,11525502
36,THE WORLD EP.2 : OUTLAW,2023-06-16,Mini Album,1172.0,Pop,48,146,6853968
