id,name,headquarter,country_id,founded_year
26126,Request Archaic,Dhaka,14,2002
26127,Inline Open,Suva,59,2016
26128,Query New,Havana,44,2016
26129,Chromatic Leisure,Mogadishu,161,2018
26130,Prefix Tough,Helsinki,60,2016
26131,Halftone Perfect,Tashkent,189,2011
26132,Parody Soft,Brazzaville,39,2016
26133,Goal Acoustic,Tripoli,99,2014
26134,Station Brave,Mbabane,168,2023
26135,Stock Silver,Monrovia,98,2015
26136,Objective Molto,Rabat,119,2021
26137,Corporate Leverage,Dhaka,14,2014
26138,Bland Sample,Mogadishu,161,2022
26139,Tone Future,Bridgetown,15,2023
26140,Fixed Sealer,Asmara,56,2006
26141,Regional Groove,Riyadh,152,2015
26142,National Lily,Port Louis,112,2011
26143,Board Best,Yaounde,30,2001
26144,Sheet Mad,Basseterre,146,2023
26145,Steel Angora,Asuncion,137,2006
26146,Eager Ottoman,Banjul,63,2004
26147,Direct Medal,Vilnius,101,2000
26148,Mild Cannon,Gitega,28,2000
26149,Container Tiny,Porto-Novo,19,2000
26150,Sour Juniper,Kuwait City,92,2007
26151,Type Mild,Kuwait City,92,2013
26152,Metaball Trusting,Kathmandu,124,2011
26153,Spaniel Icy,Guatemala City,69,2012
26154,Blaring Iron,Seoul,91,2015
26155,Rancid Acre,Nur Sultan,87,2012
26156,Braised Rhea,Chisinau,115,2005
26157,Dry Backlist,Kampala,183,2020
26158,Cobblestone Marinated,Dhaka,14,2010
26159,Dry Button,Vilnius,101,2022
26160,Potential Molecule,Gaborone,23,2006
26161,Noodle Young,Rabat,119,2001
26162,Kinetic Antagonist,Beirut,96,2006
26163,Grating Cooler,Yerevan,8,2003
26164,Taxi Witty,Saint George’s,68,2007
26165,Full Coda,Moroni,38,2018
26166,Rectory Coped,Port-au-Prince,73,2006
26167,Juice Ambitious,Vientiane,94,2002
26168,Wicker Board,Amsterdam,125,2022
26169,Brown Resolution,Addis Ababa,58,2001
26170,Lane Yummy,Copenhagen,47,2015
26171,Gun Juvenile,Sofia,26,2000
26172,Jump Fermented,Riga,95,2012
26173,Folder Optimal,Funafuti province,182,2006
26174,Principal Transformation,Madrid,164,2005
26175,Time Generative,Windhoek,122,2016
26176,Defense Rectilinear,Ljubljana,159,2002
26177,Devout Longshoreman,Abuja,129,2015
26178,Steamed Truss,Dakar,153,2009
26179,Wary Gofer,Tarawa Atoll,89,2022
26180,Projection Nutritious,Port-of-Spain,178,2004
26181,Mean Chocolate,Helsinki,60,2019
26182,Siberian Universal,Athens,67,2006
26183,Ampere Angry,Valletta,109,2018
26184,Chestnut Tower,Belgrade,154,2002
26185,Fundamental Lacquer,Mbabane,168,2013
26186,Watt Sweet,Quito,52,2017
26187,Momentum Primary,Yaren District,123,2022
26188,Vain Spice,Kigali,145,2016
26189,Unit Frosty,Bangkok,175,2017
26190,Embassy Gravitational,Mogadishu,161,2022
26191,Objective Dry,Nicosia,45,2001
26192,Rectilinear Darby,San Jose,41,2023
26193,Grouchy Subset,Hanoi,193,2001
26194,Frosty Bone,Kathmandu,124,2020
26195,Gray Biped,Sofia,26,2008
26196,Metallic Party,Port-Vila,190,2019
26197,Octree Trusting,Bamako,108,2018
26198,Violent Chateau,Panama City,135,2017
26199,Wide Chair,Tashkent,189,2013
26200,Gain Affable,Athens,67,2018
26201,Daring Period,Kuala Lumpur,106,2020
26202,Proud Liquor,Chisinau,115,2000
26203,Glowing Mirror,Riga,95,2011
26204,Bus Generative,Male,107,2014
26205,Tanker Human,Sanaa,194,2010
26206,Cell Wood,Melekeok,133,2005
26207,Investor Bond,Djibouti,48,2019
26208,Cheerful Credenza,N’Djamena,34,2000
26209,Cool Dataset,Roseau,49,2014
26210,Gold Brick,Muscat,131,2008
26211,Equator Golden,Libreville,62,2002
26212,Broker Gritty,Tallinn,57,2019
