id,name,debut,company_id,fanclub_name,active,type
25448,Bug Many,2012-1-10,96524,,True,boy groups
25449,Navy Hud,2020-11-12,71704,,True,girl groups
25450,Freezing Palette,2023-6-2,43768,,True,boy groups
25451,Doughy Soul,2017-1-4,74644,Feasible,True,girl groups
25452,Basin Unsolvable,2017-9-2,48709,,True,boy groups
25453,Immense Gofer,2022-10-2,80567,Sluggish,True,girl groups
25454,Tall Infield,2018-7-11,92601,Dyadic,True,girl groups
25455,Furious Drink,2011-3-4,80288,Violet,True,girl groups
25456,Moscato Piquant,2013-3-11,65703,,True,girl groups
25457,Midpoint Navy,2010-5-27,34551,,True,boy groups
25458,Quetzal Cloudy,2010-11-11,61158,Woolen,True,boy groups
25459,Burgundy Leadership,2014-6-27,42674,,True,girl groups
25460,Elegant Caramel,2018-3-23,60108,Absolute,True,boy groups
25461,Garage Ragged,2010-7-14,37652,Hasty,True,boy groups
25462,School Pink,2021-1-16,26711,Another,True,boy groups
25463,Language Faint,2018-9-24,83785,,True,boy groups
25464,Maroon Bevel,2011-1-6,49387,Crispy,True,boy groups
25465,Generative Wharf,2015-2-17,44239,,False,boy groups
25466,Bulkhead Inventive,2017-8-16,51497,Acyclic,False,girl groups
25467,Warm Angler,2014-10-3,85522,Oily,False,girl groups
25468,Electron Tractable,2020-3-4,78950,Undirected,True,boy groups
25469,Crest Calm,2010-12-21,45694,,True,girl groups
25470,Mad Portrait,2011-12-20,10959,,True,boy groups
25471,Polygon Odious,2012-8-7,23427,Marinated,True,boy groups
25472,Jumbo Beta,2017-12-18,100515,Complex,False,girl groups
25473,Raft Bright,2010-6-6,83177,Pallid,True,girl groups
25474,Exponential Marinade,2010-8-12,65059,Product,True,girl groups
25475,Boom Isochoric,2021-10-25,50744,Freezing,False,boy groups
25476,Irregular Carriage,2021-7-20,6601,,True,boy groups
25477,Andante Slide,2020-7-8,82361,Feldspar,True,girl groups
25478,Recurrence Fresh,2022-10-3,35978,,True,girl groups
25479,Caramelized Threshold,2016-8-27,44420,Shrewd,True,girl groups
25480,Balinese Recent,2014-1-28,26082,,True,boy groups
25481,Intense Adhesive,2017-9-7,9043,Humongous,True,boy groups
25482,Warm Island,2017-9-17,46099,Vicious,True,girl groups
25483,Convex Dune,2016-8-28,51119,,True,girl groups
25484,Barbel Caramelized,2014-5-14,90568,Energetic,False,girl groups
25485,Terry Chief,2010-2-9,24392,,True,boy groups
25486,Charcoal Altitude,2015-9-6,33140,,False,girl groups
25487,Honest Plane,2023-6-18,23479,,True,girl groups
25488,Optical Tree,2011-9-23,78803,Caramelized,False,girl groups
25489,Octave Blazing,2017-2-17,55376,,True,boy groups
25490,Isometric Anthology,2016-11-23,27843,Daring,True,boy groups
25491,Brownian Console,2023-9-29,32959,,True,girl groups
25492,Sidewalk Humid,2012-8-29,10166,,True,boy groups
25493,Brush Windy,2010-10-10,37487,,True,boy groups
25494,Caramelized Bag,2021-8-14,81681,Tomato,True,girl groups
25495,Angry Officer,2020-11-3,100533,Free,True,girl groups
25496,Jumbo Involute,2010-12-13,45733,,True,girl groups
25497,Gray Diver,2013-5-26,83922,,True,boy groups
25498,Average Rail,2013-10-14,52751,Silver,True,girl groups
25499,Easement Sunny,2017-10-4,5278,Mad,False,boy groups
25500,Delta Creamy,2019-11-23,63732,Modern,True,boy groups
25501,Chewy History,2019-7-27,65146,Poached,True,girl groups
25502,Acre Gritty,2017-4-27,48098,,True,girl groups
25503,Every Lagoon,2019-8-1,80644,,True,boy groups
