id,title,release_date,type,duration,genre,group_id
1,CAPTURE THE FLAG,2024-01-30,Mini Album,1086.0,Pop,409
2,VENI VIDI VICI,2023-08-21,Mini Album,1204.0,Pop,409
3,2,2024-01-29,Full Length Album,1255.0,Pop,2
4,I feel,2023-05-15,Mini Album,1025.0,Pop,2
5,0 or 1,2024-01-24,Single Album,359.0,Pop,107
6,‘OK’ Episode 2 : I’m OK,2023-05-29,EP Album,869.0,Pop,107
7,Sparkling Blue,2024-01-22,Mini Album,906.0,"Pop, Dance.",400
8,Un: SEEN,2024-01-22,Mini Album,933.0,Pop,144
9,Target: ME,2023-09-19,Mini Album,1140.0,Pop,144
10,THE FUTURE IS OURS : FOUND,2024-01-22,Mini Album,1017.0,Pop,23
11,THE FUTURE IS OURS : LOST,2023-05-29,Mini Album,1083.0,Pop,23
12,Fe3O4: BREAK,2024-01-15,EP Album,1259.0,Pop,293
13,A Midsummer NMIXX’s Dream,2023-07-11,Single Album,725.0,Pop,293
14,Do Not Disturb,2024-01-10,,803.0,K-pop,12
15,LAST DANCE,2024-01-11,EP Album,3257.0,Pop,242
16,MADELEINE,2023-08-04,Single Album,567.0,,242
17,LIMELIGHT,2022-09-29,EP,1585.0,"Pop, Dance",242
18,LOVE & HAPPINESS,2023-02-17,EP Album,1891.0,Pop,242
19,STUNNING,2024-01-09,Mini Album,943.0,,17
20,UNCHARTED DRIFT,2023-06-26,Mini Album,890.0,Pop,17
21,8TURNRISE,2023-01-30,Mini Album,1024.0,Pop,17
22,Sequence,2024-01-08,Mini Album,1190.0,Pop,345
23,BORN TO BE,2024-01-08,Mini Album,1890.0,Pop,217
24,KILL MY DOUBT,2023-07-31,Mini Album,1064.0,Pop,217
25,CHESHIRE,2022-11-30,Mini Album,754.0,,217
26,Checkmate,2022-07-15,mini-album,,"Kpop,",217
27,CONNECT,2024-01-08,Mini Album,915.0,Pop,54
28,20&2,2023-12-26,Full Length Album,1842.0,Pop,397
29,Merry & Happy,,,,,398
30,READY TO BE,2023-03-10,Mini Album,1224.0,Pop,398
31,Celebrate,2022-07-27,,1814.0,J-Pop,398
32,Between 1&2,2022-08-26,mini-album,,"kpop, dance pop",398
33,The Story Begins,2015-10-20,,1195.0,Kpop,398
34,Kura Kura,2021-05-12,,859.0,K-Pop,398
35, THE WORLD EP.FIN : WILL,2023-12-01,Mini Album,2350.0,Pop,48
36,THE WORLD EP.2 : OUTLAW,2023-06-16,Mini Album,1172.0,Pop,48
37,SPIN OFF: FROM THE WITNESS,2022-12-30,Single Album,940.0,,48
38,THE WORLD EP.PARADIGM,2022-11-30,Mini Album,1027.0,,48
39,HIP,2023-11-30,Mini Album,928.0,Pop,129
40,I Need Love,2023-06-14,Mini Album,834.0,Pop,129
41,Rebel,2022-04-28,,,K-pop,129
42,Moment,2023-11-30,Mini Album,1163.0,Pop,303
43,MUST HAVE,2023-11-27,Single Album,712.0,Pop,47
44,The Beginning : 飛上,2023-05-18,Mini Album,1181.0,Pop,47
45,Potential,2023-11-24,Mini Album,829.0,Pop,151
46,NEW TOMORROW,2023-09-21,Mini Album,640.0,Pop,151
47,VillainS,2023-11-22,Mini Album,832.0,Pop,132
48,Apocalypse : From us,2023-05-24,Mini Album,860.0,Pop,132
49,Apocalypse: Follow Us,2022-10-11, mini-album,,"Kpop, rock",132
50,Apocalypse: Save Us,2022-04-12,,,"K-pop, rock, alternative rock, pop",132
51,Dystopia: Lose Myself,2020-08-17,,1161.0,K-pop,132
52,ODD-VENTURE,2023-11-22,Mini Album,1305.0,Pop,265
53,CONTINUUM,2023-11-21,Mini Album,920.0,Pop,416
54,PHANTASY : Pt.2 Sixth Sense,2023-11-20,Full Album,1126.0,Pop,376
55,BE AWAKE,2023-02-20,Mini Album,1194.0,Pop,376
56,ORANGE BLOOD,2023-11-17,Mini Album,1238.0,Pop,139
57,DARK BLOOD,,Mini Album,1093.0,,139
58,AMPERSAND ONE,2023-11-15,Single Album,580.0,Pop,34
59,Chill Kill,2023-11-13,Full Length Album,2010.0,Pop,327
60,The ReVe Festival 2022 – Birthday,2022-11-28,Mini Album,960.0,"K-POP, Pop, Dance.",327
61,Rookie,2017-02-01,,1365.0,K-Pop,327
62,Russian Roulette,2016-09-07,,1465.0,K-Pop,327
63,TRIANGLE,2020-06-26,Mini Album,,"Electro Dance pop, Hip-hop.",13
64,ROCK-STAR,2023-11-10,Mini Album,1535.0,Pop,364
65,5-STAR,2023-06-02,Full Album,2194.0,Pop,364
66,I am YOU,2018-10-22,Extended Play (EP),1550.0,"K-pop, Hip hop",364
67,I Am NOT,,,,,364
68,Circus,,,,,364
69,SKZ- Replay,2022-12-21,Compilation album,,"R&B/Soul, Korean Dance, Dance/Electronic, Ballads, Rock/Alt, Hip-Hop/Rap, FolkPop",364
70,Maxident,2022-10-07,mini-album,,"Kpop, pop, pop-rock, electronic-rock, EDM, hip-hop, R&B, rock, electronic",364
71,I am Who,2018-08-06,,,"K-pop, hip-hop",364
72,Oddinary,2022-03-18,,,K-pop,364
73,Christmas EveL,2021-11-29,Holiday Single,870.0,"K-pop, Rap",364
74,Drama,2023-11-10,Mini Album,1354.0,Pop,27
75,Girls,2022-07-08,mini-album,,"Kpop, synth pop, electro pop, dance pop",27
76,Born to be XX,2023-11-08,Mini Album,1275.0,,233
77,KISS OF LIFE,2023-07-05,Mini Album,1086.0,Pop,233
78,ready x:in,2023-04-11,Digital Single,164.0,,436
79,SYNCHRONICITY,2023-08-30,Mini Album,813.0,Pop,436
80,VERSUS,2023-11-02,Mini Album,954.0,Pop,415
81,Feel me,2023-11-02,Single Album,617.0,Pop,174
82,ColoRise,2023-11-01,Mini Album,1113.0,Pop,427
83,Fragments of Youth,2023-11-01,Mini Album,1549.0,Pop,99
84,THIS IS LOVE,2023-10-15,Digital Single,219.0,"Pop, Dance",323
85,UNI-Q,2023-07-06,Single Album,1022.0,,323
86,The Voice,2023-10-24,Digital EP,826.0,"Dance, Ballad.",312
87,CHOSEN KARMA,2023-03-10,Mini Album,1117.0,Pop,312
88,Reborn,2022-06-15,mini-album,,"Kpop, experimental pop, glitch pop, alternative rock, R&B",312
89,ARCADE : O,2023-10-25,Mini Album,1065.0,Pop,166
90,SEVENTEENTH HEAVEN,2023-10-23,Mini Album,1605.0,Pop,344
91,FML,2023-04-24,Mini Album,1148.0,Pop,344
92,Attacca,2021-10-22,,1008.0,"dance-pop, hip hop",344
93,Boys Be,2015-09-10,,1008.0,"dance-pop, hip hop",344
94,MACARONI CHEESE,2023-10-18,EP Album,,Pop,444
95,History Of Kingdom : PartVII. JAHAN,2023-10-18,Mini Album,,Pop,232
96,History of Kingdom: Part VI. Mujin,2023-03-23,,1415.0,"Dance, pop, R&B",232
97,Favorite,2023-10-11,EP Album,748.0,Pop,314
98,Livelock – The Beginning,2023-10-11,Mini Album,1396.0,Pop,437
99,Deadlock,,Mini Album,1380.0,,437
100,÷ (NANUGI),2023-10-09,Mini Album,1259.0,Pop,225
101,Prelude of Anxiety Chapter 2. ‘Can We Surrender?',2023-09-04,EP Album,708.0,Pop,141
102,Prelude of Love Chapter 2: ‘Growing Pains’,2023-04-26,EP Album,749.0,Pop,141
103,Prelude of Love Chapter 1: ‘Puppy Love',2022-10-26,EP Album,708.0,Pop,141
104,LOVE EFFECT,2023-10-04,Mini Album,916.0,Pop,305
105,La Dolce Vita,2023-09-26,Mini Album,852.0,Pop,304
106,PYGMALION,2023-05-08,Mini Album,875.0,Pop,304
107,Trickster,2022-05-17,,,K-pop,304
108,폭풍 속으로 (Into The TEMPEST),2023-09-20,Single Album,559.0,Pop,374
109,THE CALM BEFORE THE STORM,2023-04-17,Mini Album,789.0,Pop,374
110,ON and ON,2022-11-22,Mini Album,785.0,Pop,374
111,Loossemble,2023-09-15,Mini Album,1384.0,,246
112,7+UP,2023-09-14,Mini Album,975.0,Pop,137
113,LIVE,2023-09-14,Single Album,826.0,Pop,269
114,SUN SEEKER,2023-09-11,Mini Album,1176.0,Pop,113
115,MASTER : PIECE,,,,,113
116,New Wave,2022-09-27,Mini Album,1158.0,K-Pop,113
117,Sage,2023-09-07,Mini Album,1301.0,"Pop, Rock",158
118,BOOM,2023-09-06,Single Album,598.0,Pop,331
119,STILL ON MY WAY,2023-09-06,Single Album,525.0,Pop,391
120,STILL ON MY WAY,2023-09-06,Single Album,525.0,Pop,392
121,BLUE SET CHAPTER. NEW DAYZ,2023-03-15,Single Album,555.0,Pop,391
122,BLUE SET CHAPTER. NEW DAYZ,2023-03-15,Single Album,555.0,Pop,392
123,WHY..,2023-09-04,EP Album,1005.0,Pop,85
124,WHO!,2023-05-30,Single Album,488.0,Pop,85
125,Get A Guitar,2023-09-04,Single Album,338.0,,329
126,Us in the Summer,2023-08-29,Mini Album,757.0,Pop,105
127,My Little Aurora,2023-01-17,EP Album,790.0,Pop,105
128,Dear Diary Moment,2021-11-30,,1039.0,K-pop,105
129,Golden Age,,,1941.0,Pop,288
130,ALL MY GIRLS,2023-08-18,Single Album,591.0,Pop,143
131,DUBI DUBI,2023-08-10,Single Album,523.0,Pop,45
132,BIRTH OF COSMO,2023-08-09,Mini Album,1561.0,Pop,286
133,Chapter 1. Our Youth,,,,,96
134,FAKE LOVE,2023-08-03,Single Album,508.0,Pop,24
135,NEW MIND,2023-08-03,Mini Album,1193.0,Pop,292
136,HOUSE OF TRICKY : HOW TO PLAY,,Mini Album,1292.0,,440
137,HOUSE OF TRICKY : Doorbell Ringing,2023-03-30,Mini Album,1169.0,Pop,440
138,BLUE,2023-08-01,Mini Album,1045.0,Pop,438
139,Dream Land,2022-12-01,Mini Album,1059.0,"K-POP, Pop.",438
140,13egin,2023-07-31,Mini Album,1040.0,Pop,213
141,REBOOT,2023-07-28,Full Length Album,1976.0,Pop,389
142,New Chapter,2023-07-25,Mini Album,1207.0,Pop,211
