id,name,capital,continent,currency
1,Afghanistan,Kabul,Asia,Afghani
2,Albania,Tirane,Europe,Lek
3,Algeria,Algiers,Africa,Dinar
4,Andorra,Andorra la Vella,Europe,Euro
5,Angola,Luanda,Africa,New Kwanza
6,Antigua and Barbuda,Saint John’s,North America,East Caribbean dollar
7,Argentina,Buenos Aires,South America,Peso
8,Armenia,Yerevan,Asia,Dram
9,Australia,Canberra,Oceania,Australian dollar
10,Austria,Vienna,Europe,Euro
11,Azerbaijan,Baku,Asia,Manat
12,The Bahamas,Nassau,North America,Bahamian dollar
13,Bahrain,Manama,Asia,Bahrain dinar
14,Bangladesh,Dhaka,Asia,Taka
15,Barbados,Bridgetown,North America,Barbados dollar
16,Belarus,Minsk,Europe,Belorussian ruble
17,Belgium,Brussels,Europe,Euro
18,Belize,Belmopan,North America,Belize dollar
19,Benin,Porto-Novo,Africa,CFA Franc
20,Bhutan,Thimphu,Asia,Ngultrum
21,Bolivia,La Paz,South America,Boliviano
22,Bosnia and Herzegovina,Sarajevo,Europe,Convertible Mark
23,Botswana,Gaborone,Africa,Pula
24,Brazil,Brasilia,South America,Real
25,Brunei,Bandar Seri Begawan,Asia,Brunei dollar
26,Bulgaria,Sofia,Europe,Lev
27,Burkina Faso,Ouagadougou,Africa,CFA Franc
28,Burundi,Gitega,Africa,Burundi franc
29,Cambodia,Phnom Penh,Asia,Riel
30,Cameroon,Yaounde,Africa,CFA Franc
31,Canada,Ottawa,North America,Canadian dollar
32,Cape Verde,Praia,Africa,Cape Verdean escudo
33,Central African Republic,Bangui,Africa,CFA Franc
34,Chad,N’Djamena,Africa,CFA Franc
35,Chile,Santiago,South America,Chilean Peso
36,China,Beijing,Asia,Chinese Yuan
37,Colombia,Bogota,South America,Colombian Peso
38,Comoros,Moroni,Africa,Franc
39,Republic of the Congo,Brazzaville,Africa,CFA Franc
40,Zimbabwe,Harare,Africa,United States dollar
41,Costa Rica,San Jose,North America,Colón
42,Cote d’Ivoire,Yamoussoukro,Africa,CFA Franc
43,Croatia,Zagreb,Europe,Croatian
44,Cuba,Havana,North America,Cuban Peso
45,Cyprus,Nicosia,Europe,Euro
46,Czech Republic,Prague,Europe,Koruna
47,Denmark,Copenhagen,Europe,Danish Krone
48,Djibouti,Djibouti,Africa,Djiboutian franc
49,Dominica,Roseau,North America,East Caribbean dollar
50,Dominican Republic,Santo Domingo,North America,Dominican Peso
51,East Timor (Timor-Leste),Dili,Asia,U.S. dollar
52,Ecuador,Quito,South America,U.S. dollar
53,Egypt,Cairo,Africa/ Asia,Egyptian pound
54,El Salvador,San Salvador,North America,Colón; U.S. dollar
55,Equatorial Guinea,Malabo,Africa,CFA Franc
56,Eritrea,Asmara,Africa,Nakfa
57,Estonia,Tallinn,Europe,Estonia Kroon; Euro
58,Ethiopia,Addis Ababa,Africa,Birr
59,Fiji,Suva,Oceania,Fiji dollar
60,Finland,Helsinki,Europe,Euro
61,France,Paris,Europe,Euro
62,Gabon,Libreville,Africa,CFA Franc
63,The Gambia,Banjul,Africa,Dalasi
