id,name,debut,company_id,fanclub_name,active,type
1,100%,2012-09-18,827.0,Perfection,1,boy groups
2,(G)I-DLE,2018-05-02,188.0,,1,girl groups
3,14U,2017-04-17,102.0,,0,boy groups
4,15&,2012-10-05,439.0,,0,girl groups
5,1TEAM,2019-03-27,,,0,boy groups
6,1the9,2019-02-09,524.0,,1,boy groups
7,24K,2012-09-06,152.0,24U,1,boy groups
8,2AM,2008-06-21,439.0,I Am,0,boy groups
9,2EYES,2013-07-20,712.0,,0,girl groups
10,2NE1,2009-05-06,909.0,Blackjack,0,girl groups
11,2PM,2008-07-04,439.0,Hottest,1,boy groups
12,2Z,2020-01-14,,,1,boy groups
13,3YE,2019-05-21,307.0,,1,girl groups
14,4Minute,2009-06-15,188.0,4nia,0,girl groups
15,4TEN,2014-08-26,432.0,,0,girl groups
16,8Eight,2007-09-06,,Sweet Voice,0,boy groups
17,8TURN,2023-01-30,540.0,,1,boy groups
18,9Muses,2010-08-12,743.0,MINE,0,girl groups
19,A.C.E,2017-05-23,,Choice,1,boy groups
20,A.cian,2012-10-10,884.0,,0,boy groups
21,A.DE,2016-07-23,,,0,girl groups
22,A6P,2015-05-20,,,0,boy groups
23,AB6IX,2019-05-22,,ABNEW,1,boy groups
24,ABLUE,2022-10-23,410.0,BLUEVERY,1,boy groups
25,ABRY,2017-11-15,888.0,,1,girl groups
26,ADYA,2023-05-09,762.0,,1,girl groups
27,aespa,2020-11-17,720.0,My,1,girl groups
28,After School,2009-01-15,643.0,Playgirlz,0,girl groups
29,AIMERS,2022-11-17,369.0,AIMING,1,boy groups
30,AiRiSu,2018-07-25,,,0,girl groups
31,A-JAX,2012-06-01,,A-LIGHT,0,boy groups
32,ALICE,2017-07-01,,,1,girl groups
33,AlphaBat,2013-11-14,,,1,boy groups
34,AMPERS&ONE,2023-11-15,295.0,,1,boy groups
35,ANS,2019-09-16,53.0,,0,girl groups
36,ANTARES,2023-04-16,410.0,,1,boy groups
37,AOA,2012-07-30,295.0,ELVIS,1,girl groups
38,API,2019-04-19,,,1,girl groups
39,Apink,2011-04-19,639.0,Pink Panda,1,girl groups
40,Apple.B,2017-08-01,307.0,,0,girl groups
41,April,2015-08-24,,Fineapple,0,girl groups
42,AREAL,2020-08-21,440.0,,0,girl groups
43,ARGON,2019-03-11,554.0,A-Rang,1,boy groups
44,Ariaz,2019-10-23,670.0,,0,girl groups
45,ARTBEAT v,2022-11-16,28.0,,1,girl groups
46,ASTRO,2016-02-23,277.0,AROHA,1,boy groups
47,ATBO,2022-07-27,405.0,BOAT,1,boy groups
48,ATEEZ,2018-10-24,,,1,boy groups
49,AWEEK,2019-01-31,,,1,boy groups
50,B.A.P,2012-01-27,837.0,BABY,0,boy groups
51,B.Heart,2017-01-25,,,1,boy groups
52,B.I.G,2014-07-09,307.0,,1,boy groups
53,B.O.Y,2020-01-20,,,1,boy groups
54,B1A4,2010-04-19,891.0,BANA,1,boy groups
55,Baby V.O.X,1997-07-05,228.0,,0,girl groups
56,BABYMONSTER,2023-11-27,909.0,,1,girl groups
57,Badkiz,2014-03-24,931.0,,0,girl groups
58,BAE173,2020-11-19,,,1,boy groups
59,Be.A,2017-05-25,156.0,,1,boy groups
60,Beatwin,2014-01-06,,,0,boy groups
61,Berry Good,2014-05-21,,,0,girl groups
62,BESTie,2013-07-11,915.0,BESTiny,0,girl groups
63,BIGBANG,2006-08-19,909.0,VIP,1,boy groups
64,Bigflo,2014-07-19,,,1,boy groups
65,BIGSTAR,2012-07-12,131.0,,0,boy groups
66,Billlie,2021-11-10,,,1,girl groups
67,Black Level,2022-02-26,863.0,WE.B,0,boy groups
68,BLACK6IX,2017-04-07,115.0,,1,boy groups
69,BLACKPINK,2016-08-08,909.0,,1,girl groups
70,BlackSwan,2020-10-16,,,1,girl groups
71,Blady,2011-05-16,,Hi ade,0,girl groups
72,Blanc7,2017-03-03,416.0,Prism,0,boy groups
73,BLANK2Y,2022-05-24,450.0,,1,boy groups
74,Blastar,2020-07-31,,,0,girl groups
75,Bling Bling,2020-11-17,510.0,,1,girl groups
76,BLITZERS,2021-05-12,,,1,boy groups
77,BLK,2017-11-28,,,0,boy groups
78,Block B,2011-04-15,,BBC,1,boy groups
79,Bloomy,2016-02-01,,,1,girl groups
80,Bob Girls,2014-06-10,156.0,,0,girl groups
81,Bolbbalgan4,2016-04-22,707.0,,1,girl groups
82,Bonus Baby,2017-01-01,522.0,,0,girl groups
83,BOTOPASS,2020-08-26,890.0,,1,girl groups
84,Boyfriend,2011-05-26,760.0,Bestfriend,0,boy groups
85,BOYNEXTDOOR,2023-05-30,468.0,,1,boy groups
