id,stage_name,full_name,date_of_birth,birthplace,group_id,country_id,gender,weight,height
1,2Soul,Kim Younghoon,1997-09-10,,,91,M,55.0,172.0
2,A-min,Cho Minwoo,2004-05-22,Namyangju,141.0,91,M,54.0,175.0
3,A-ra,Choi Eunji,2003-07-25,Seoul,172.0,91,F,,158.0
4,A.M,Seong Hyunwoo,1996-12-31,,243.0,91,M,62.0,181.0
5,Ace,Jang Wooyoung,1992-08-28,,411.0,91,M,63.0,177.0
6,Aeji,Kwon Aeji,1999-10-25,Daegu,,91,F,,163.0
7,AhIn,Lee Ahin,1999-09-27,Wonju,274.0,91,F,44.0,160.0
8,Ahra,Go Ahra,2001-02-21,Yeosu,152.0,91,F,,
9,Ahxian,Park Sungkook,1996-03-27,Gyeonggi,409.0,91,M,60.0,177.0
10,Ahyeon,Jung Ahyeon,2007-04-11,,56.0,91,F,,
11,Ahyoon,Choi Subin,2004-10-23,,83.0,91,F,,
12,Ahyoon,Shin Ahyoon,2003-09-24,Seoul,323.0,91,F,,
13,Ahyoung,Cho Jayoung,1991-05-26,Seoul,122.0,91,F,,
14,Ahyung,Kang Ahyoung,1996-08-27,Pohang,307.0,91,F,,
15,Ailee,Lee Yejin,1989-05-30,Denver,,91,F,,165.0
16,Aini,Kim Heejung,1991-07-13,,,91,F,44.0,163.0
17,Aisha,Heo Yoorim,2000-07-21,,143.0,91,F,,
18,Aki,Jang Minju,2001-02-12,,257.0,91,F,48.0,168.0
19,Alice,Song Joohee,1990-03-21,Wonju,190.0,91,F,47.0,166.0
20,Alice,Cheon Jaeyoung,2002-02-20,,386.0,91,F,,
21,Andamiro,Yeon Seongju,2003-05-06,,164.0,91,F,,169.0
22,Andy,Lee Sunho,1981-01-21,Seoul,349.0,91,M,62.0,175.0
23,Anne,Lee Seoyoung,2000-10-17,,182.0,91,F,,
24,Ara,Lee Yunji,2002-01-23,,211.0,91,F,,158.0
25,Aran,Jeong Eunah,2004-10-11,,154.0,91,F,44.0,162.0
26,Arang,Son Mnjung,2000-03-08,,,91,F,,
27,Arang,Park Yerim,2001-01-22,,311.0,91,F,49.0,167.0
28,Areum,Kim Daun,1998-01-31,,42.0,91,F,,
29,Ari,Kim Sunyoung,1994-10-23,Daegu,370.0,91,F,,
30,Arie,Jeon Minjae,2000-04-07,,273.0,91,F,45.0,163.0
31,Arin,Choi Yewon,1999-06-18,Busan,301.0,91,F,47.0,163.0
32,Aron,Kwak Youngmin,1993-05-21,California,298.0,91,M,,
33,Arthur,Jang Yunho,2000-04-15,,232.0,91,M,57.0,176.0
34,Ashley,Ashley Choi,1991-11-09,Incheon,238.0,91,F,,
35,Ayden,Kwon Yejun,2005-01-24,,141.0,91,M,55.0,174.0
36,Ayeon,Son Minji,2002-09-29,,339.0,91,F,47.0,162.0
37,Ayno,Noh Yoonho,1996-05-01,,411.0,91,M,61.0,183.0
38,B-Bomb,Lee Minhyuk,1990-12-14,Seoul,78.0,91,M,60.0,178.0
39,B-Joo,Kim Byungjoo,1994-01-08,Seoul,,91,M,,
40,B.I,Kim Hanbin,1996-10-22,Goyang,,91,M,,
41,B.S,Lee Youngsoo,1995-04-14,,3.0,91,M,,
42,Babysoul,Lee Soojung,1992-07-06,Gwangju,247.0,91,F,41.0,158.0
43,Bada,Kim Bada,2002-05-28,,198.0,91,F,49.0,162.0
44,Bae,Bae Jinsol,2004-12-28,,293.0,91,F,,
45,Baek Seung,Kim Hyunwoo,2004-10-05,Seoul,141.0,91,M,64.0,186.0
46,Baekah,Kim Sua,1999-10-24,,442.0,91,F,,
47,Baekgyeul,Baek Sunwoo,1999-12-01,,138.0,91,M,61.0,180.0
48,Baekho,Kang Dongho,1995-07-21,Jeju,298.0,91,M,,
49,Baekhyun,Byun Baekhyun,1992-05-06,Wonmi,147.0,91,M,58.0,174.0
50,Bain,Song Byeonghee,2001-05-04,,225.0,91,M,,
51,Bao,Bae Sungyeob,1996-05-12,,438.0,91,M,63.0,182.0
52,Baro,Cha Sunwoo,1992-09-05,Gwangju,,91,M,63.0,178.0
53,Baron,Choi Chunghyeop,1992-04-19,,,91,M,60.0,180.0
54,BC,Jin Sungho,1994-07-18,,5.0,91,M,,
55,Bekah,Rebecca Kim,1989-08-11,Honolulu,,91,F,,
56,BEL,Choi Sunghoon,2000-05-21,,136.0,91,M,,
57,Belle,Jin Hyeonjoo,2001-11-03,Goyang,105.0,91,F,,
58,Belle,Shim Hyewon,2004-03-20,Seattle,233.0,91,F,,167.0
59,Beomgyu,Choi Beomgyu,2001-03-13,,401.0,91,M,,
60,Beomsoo,Kim Beomsoo,2000-09-29,Busan,441.0,91,M,63.0,183.0
61,Bessie,Kim Susanna,2004-07-15,Changwon,239.0,91,F,,
62,Bian,Yu Jiwon,2001-02-13,,257.0,91,F,,
63,BIBI,Kim Hyungseo,1998-09-27,,,91,F,,
64,Bic,Nam Seungmin,2001-04-25,,265.0,91,M,,
65,Bin,Kwon Soobin,1993-10-28,,,91,M,,
66,Bit,No Minjae,2004-07-21,,58.0,91,M,,
67,Bitsaeon,Kim Sangyeon,1995-06-04,,,91,M,60.0,181.0
68,Bitto,Lee Changhyun,1996-08-24,Dongducheon,408.0,91,M,,
69,Blue,Jung Gahee,1994-01-18,Gwangju,320.0,91,F,,161.0
70,BM,Matthew Kim,1992-10-20,,,91,M,,
71,BoA,Kwon Boa,1986-11-05,Guri,,91,F,,
72,Boa,Kim Boah,1987-01-14,,229.0,91,F,,
73,Bobby,Kim Jiwon,1995-12-21,Seoul,208.0,91,M,,
74,Boeun,Park Boeun,2008-02-11,,108.0,91,F,,155.0
75,Bohyung,Kim Bohyung,1991-03-31,,229.0,91,F,,
76,Bokeun,Kim Bokeun,1994-10-12,,351.0,91,M,,
77,Bom,Park Bom,1984-03-24,,10.0,91,F,,
78,Bomi,Yoon Bomi,1993-08-13,Suwon,39.0,91,F,,163.0
79,Bomin,Choi Bomin,2000-08-24,,174.0,91,M,,
80,Bomin,Kim Bomin,2001-09-24,Gwangju,328.0,91,F,,
81,Bona,Kim Jiyeon,1995-08-19,Daegu,432.0,91,F,,163.0
82,Boni,Choi Euijeong,1999-10-30,,133.0,91,F,45.0,160.0
83,Bora,Yoon Bora,1989-12-30,,352.0,91,F,,
84,Bora,Kim Bora,1999-03-03,,101.0,91,F,,
85,Boram,Jeon Boram,1986-03-22,Seoul,,91,F,45.0,155.0
86,Boyul,Kwon Boyul,2002-01-21,,430.0,91,M,60.0,179.0
87,Bullet,Jin Junwoo,1995-12-02,Seoul,410.0,91,M,65.0,182.0
88,BX,Lee Byounggon,1998-03-05,Incheon,107.0,91,M,61.0,180.0
89,Byeongkwan,Kim Byeongkwan,1996-08-13,Seoul,19.0,91,M,,
90,Byungchan,Choi Byungchan,1997-11-12,,414.0,91,M,,
91,Byunghoon,Choi Byunghoon,2000-04-26,,110.0,91,M,,
92,C.A.P,Bang Minsoo,1992-11-04,Seongnam,373.0,91,M,,
93,Castle J,Son Sangjoon,1999-05-31,,265.0,91,M,,
94,Cha Hoon,Cha Hoon,1994-07-12,Seoul,285.0,91,M,,
95,Chaebin,Choi Yoobin,1999-07-28,,287.0,91,F,,
96,Chaeeun,Yoon Chaeeun,2005-12-10,Mokpo,26.0,91,F,,
97,Chaehyun,Kim Chaehyun,1999-11-29,,82.0,91,F,,163.0
98,Chaehyun,Kim Chaehyun,2002-04-26,,230.0,91,F,,160.0
99,Chaein,Lee Chaeyoung,2002-12-05,,321.0,91,F,,
100,Chaejeong,Lee Chaejeong,1999-08-26,,32.0,91,F,48.0,164.0
